data_type_code,data_type_text
01,ALL EMPLOYEES
02,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES
03,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES
04,AVERAGE WEEKLY OVERTIME HOURS OF ALL EMPLOYEES
06,PRODUCTION AND NONSUPERVISORY EMPLOYEES
07,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
08,AVERAGE HOURLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
09,AVERAGE WEEKLY OVERTIME HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
10,WOMEN EMPLOYEES
11,AVERAGE WEEKLY EARNINGS OF ALL EMPLOYEES
12,AVERAGE WEEKLY EARNINGS OF ALL EMPLOYEES
13,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES
15,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES
16,INDEXES OF AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES
17,INDEXES OF AGGREGATE WEEKLY PAYROLLS OF ALL EMPLOYEES
19,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES
20,AVERAGE WEEKLY OVERTIME HOURS OF ALL EMPLOYEES
21,DIFFUSION INDEXES
22,DIFFUSION INDEXES
23,DIFFUSION INDEXES
24,DIFFUSION INDEXES
25,ALL EMPLOYEES
26,ALL EMPLOYEES
30,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
31,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
32,AVERAGE HOURLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
33,AVERAGE HOURLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
34,INDEXES OF AGGREGATE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
35,INDEXES OF AGGREGATE WEEKLY PAYROLLS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
36,AVERAGE WEEKLY HOURS
37,AVERAGE WEEKLY OVERTIME HOURS
38,PRODUCTION AND NONSUPERVISORY EMPLOYEES-TO-ALL EMPLOYEES RATIO
39,WOMEN EMPLOYEES-TO-ALL EMPLOYEES RATIO
56,AGGREGATE WEEKLY HOURS OF ALL EMPLOYEES
57,AGGREGATE WEEKLY PAYROLLS OF ALL EMPLOYEES
58,AGGREGATE WEEKLY OVERTIME HOURS OF ALL EMPLOYEES
81,AGGREGATE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
82,AGGREGATE WEEKLY PAYROLLS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
83,AGGREGATE WEEKLY OVERTIME HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES
86,1-MONTH CONFIDENCE INTERVAL
87,3-MONTH CONFIDENCE INTERVAL
88,6-MONTH CONFIDENCE INTERVAL
89,12-MONTH CONFIDENCE INTERVAL
98,CPI-U 1982-84
99,CPI-W 1982-84
